circRNA,disease,mean_importance,std_importance,n_explanations,rank
circpvt1,precursor cell lymphoblastic leukemia-lymphoma,0.2442265883088112,0.1432682781760278,20,209
circpvt1,squamous cell carcinoma of head and neck,0.2442265883088112,0.1432682781760278,20,210
circpvt1,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,211
circrapgef5,"thyroid cancer, papillary",0.2442265883088112,0.1432682781760278,20,212
circrbm23,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,213
circrhobtb3,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,214
circrhoc,ovarian neoplasms,0.2442265883088112,0.1432682781760278,20,215
circrhot1,pancreatic neoplasms,0.2442265883088112,0.1432682781760278,20,216
circrna-0001855,pre-eclampsia,0.2442265883088112,0.1432682781760278,20,217
circrna-0004904,pre-eclampsia,0.2442265883088112,0.1432682781760278,20,218
circrna-0044073,atherosclerosis,0.2442265883088112,0.1432682781760278,20,219
circrna-0067835,"epilepsy, temporal lobe",0.2442265883088112,0.1432682781760278,20,220
circrna-acap2,colonic neoplasms,0.2442265883088112,0.1432682781760278,20,221
circrna-cer,breast neoplasms,0.2442265883088112,0.1432682781760278,20,222
circrna-chr19,"hemorrhagic fever, ebola",0.2442265883088112,0.1432682781760278,20,223
circrna.1030,"diabetes, gestational",0.2442265883088112,0.1432682781760278,20,224
circrna.20159,"diabetes, gestational",0.2442265883088112,0.1432682781760278,20,225
circrna6783,herpes simplex,0.2442265883088112,0.1432682781760278,20,226
circrna7231,herpes simplex,0.2442265883088112,0.1432682781760278,20,227
circrna7752,herpes simplex,0.2442265883088112,0.1432682781760278,20,228
circrna_000203,cardiac fibrosis,0.2442265883088112,0.1432682781760278,20,229
circrna_000543,nasopharyngeal carcinoma,0.2442265883088112,0.1432682781760278,20,230
circrna_0005941,acne vulgaris,0.2442265883088112,0.1432682781760278,20,231
circrna_000911,breast neoplasms,0.2442265883088112,0.1432682781760278,20,232
circrna_001569,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,233
circrna_0016624,"osteoporosis, postmenopausal",0.2442265883088112,0.1432682781760278,20,234
circrna_0018168,acne vulgaris,0.2442265883088112,0.1432682781760278,20,235
circrna_003524,"arthritis, rheumatoid",0.2442265883088112,0.1432682781760278,20,236
circrna_0046366,hepatocellular steatosis,0.2442265883088112,0.1432682781760278,20,237
circrna_0047905,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,238
circrna_0072309,liver neoplasms,0.2442265883088112,0.1432682781760278,20,239
circrna_0084043,melanoma,0.2442265883088112,0.1432682781760278,20,240
circrna_0084927,acne vulgaris,0.2442265883088112,0.1432682781760278,20,241
circrna_0086376,acne vulgaris,0.2442265883088112,0.1432682781760278,20,242
circrna_036186,squamous cell carcinoma of head and neck,0.2442265883088112,0.1432682781760278,20,243
circrna_092516,"arthritis, rheumatoid",0.2442265883088112,0.1432682781760278,20,244
circrna_09585,"tuberculosis, pulmonary",0.2442265883088112,0.1432682781760278,20,245
circrna_09993,"tuberculosis, pulmonary",0.2442265883088112,0.1432682781760278,20,246
circrna_100146,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,247
circrna_100284,liver neoplasms,0.2442265883088112,0.1432682781760278,20,248
circrna_100876,osteosarcoma,0.2442265883088112,0.1432682781760278,20,249
circrna_101873,"arthritis, rheumatoid",0.2442265883088112,0.1432682781760278,20,250
circrna_104670,intervertebral disc degeneration,0.2442265883088112,0.1432682781760278,20,251
circrna_104718,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,252
circrna_104871,"arthritis, rheumatoid",0.2442265883088112,0.1432682781760278,20,253
circrna_11017,rheumatic heart disease,0.2442265883088112,0.1432682781760278,20,254
circrna_11058,rheumatic heart disease,0.2442265883088112,0.1432682781760278,20,255
circrna_11109,rheumatic heart disease,0.2442265883088112,0.1432682781760278,20,256
circrna_13478,"tuberculosis, pulmonary",0.2442265883088112,0.1432682781760278,20,257
circrna_15698,diabetic nephropathies,0.2442265883088112,0.1432682781760278,20,258
circrna_8924,uterine cervical neoplasms,0.2442265883088112,0.1432682781760278,20,259
circrnf13,adenocarcinoma of lung,0.2442265883088112,0.1432682781760278,20,260
circrunx2,osteoporosis,0.2442265883088112,0.1432682781760278,20,261
circscaf11,glioma,0.2442265883088112,0.1432682781760278,20,262
circsema4b,intervertebral disc degeneration,0.2442265883088112,0.1432682781760278,20,263
circsept9,triple negative breast neoplasms,0.2442265883088112,0.1432682781760278,20,264
circslc3a2,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,265
circslc7a6,prostatic neoplasms,0.2442265883088112,0.1432682781760278,20,266
circslc8a1,cardiovascular diseases,0.2442265883088112,0.1432682781760278,20,267
circslc8a1,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,268
circsmarca5,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,269
circsmarca5,cardiovascular diseases,0.2442265883088112,0.1432682781760278,20,270
circsmo742,glioma,0.2442265883088112,0.1432682781760278,20,271
circtada2a-e6,triple negative breast neoplasms,0.2442265883088112,0.1432682781760278,20,272
circtcf25,osteosarcoma,0.2442265883088112,0.1432682781760278,20,273
circtlk1,ischemic stroke,0.2442265883088112,0.1432682781760278,20,274
circtnfrsf21,endometrial neoplasms,0.2442265883088112,0.1432682781760278,20,275
circtp63,lung squamous cell carcinoma,0.2442265883088112,0.1432682781760278,20,276
circtrim33-12,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,277
circubap2,esophageal squamous cell carcinoma,0.2442265883088112,0.1432682781760278,20,278
circubap2,lung neoplasms,0.2442265883088112,0.1432682781760278,20,279
circubxn7,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,280
circular rna wdr77,cardiovascular diseases,0.2442265883088112,0.1432682781760278,20,281
circusp45,glucocorticoid-induced osteonecrosis of femoral head,0.2442265883088112,0.1432682781760278,20,282
circvangl1,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,283
circvangl1,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,284
circwhsc1,ovarian neoplasms,0.2442265883088112,0.1432682781760278,20,285
circyap1,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,286
circzc3h4,silicosis,0.2442265883088112,0.1432682781760278,20,287
circzfr,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,288
circzfr,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,289
circzfr,"thyroid cancer, papillary",0.2442265883088112,0.1432682781760278,20,290
circzfr,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,291
cirs-133,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,292
cirs-6,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,293
cmras,adenocarcinoma of lung,0.2442265883088112,0.1432682781760278,20,294
ctfrc,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,295
cttn1,heart failure,0.2442265883088112,0.1432682781760278,20,296
cttn2,heart failure,0.2442265883088112,0.1432682781760278,20,297
cttn4,heart failure,0.2442265883088112,0.1432682781760278,20,298
cttn5,heart failure,0.2442265883088112,0.1432682781760278,20,299
cznf292,heart failure,0.2442265883088112,0.1432682781760278,20,300
czranb1,retinal neurodegeneration,0.2442265883088112,0.1432682781760278,20,301
has-circrna_0046367,fatty liver,0.2442265883088112,0.1432682781760278,20,302
has_circ_0049220,"lupus erythematosus, systemic",0.2442265883088112,0.1432682781760278,20,303
hsa-circ-000595,aortic aneurysm,0.2442265883088112,0.1432682781760278,20,304
hsa-circ-0008139,hypertension,0.2442265883088112,0.1432682781760278,20,305
hsa-circ-0040809,hypertension,0.2442265883088112,0.1432682781760278,20,306
hsa-circrna-102685,crohn disease,0.2442265883088112,0.1432682781760278,20,307
hsa-circrna11783-2,coronary artery disease,0.2442265883088112,0.1432682781760278,20,308
hsa-circrna11783-2,"diabetes mellitus, type 2",0.2442265883088112,0.1432682781760278,20,309
hsa-circrna5974-1,coronary artery disease,0.2442265883088112,0.1432682781760278,20,310
hsa_circ6510-1,coronary artery disease,0.2442265883088112,0.1432682781760278,20,311
